Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-20 15:59:22.026 -0500,"Failure",0:00:02,1,0,0,"20231120_155922.026/LogFile.txt","","SCPI ERROR -- -100,""Command error; CONF:RAD:BLE:TEMP:VAL <value> failed. Failed to set temperature value""",0
2023-11-20 16:01:57.445 -0500,"Failure",0:00:32,1,0,0,"20231120_160157.445/LogFile.txt","","SCPI ERROR -- -100,""Command error; CONF:RAD:BLE:TEMP:UNIT <unit> failed. Failed to set battery percentage""",0
2023-11-20 16:06:12.738 -0500,"Failure",0:00:24,1,0,0,"20231120_160612.738/LogFile.txt","","SCPI ERROR -- -100,""Command error; CONF:RAD:BLE:TEMP:VAL <value> failed. Failed to set temperature value""",0
2023-11-20 16:08:02.628 -0500,"Success",0:01:01,0,0,0,"20231120_160802.628/LogFile.txt","","",10
2023-11-20 16:09:37.188 -0500,"Failure",0:00:15,1,3,0,"20231120_160937.188/LogFile.txt","","SCPI ERROR -- -100,""Command error; CONF:RAD:BLE:TEMP:VAL <value> failed. Failed to set temperature value""",0
2023-11-20 16:10:09.418 -0500,"Failure",0:00:04,1,0,0,"20231120_161009.418/LogFile.txt","","SCPI ERROR -- -100,""Command error; CONF:RAD:BLE:TEMP:UNIT <unit> failed. Failed to set battery percentage""",0
2023-11-20 16:10:25.267 -0500,"Success",0:00:43,0,9,0,"20231120_161025.267/LogFile.txt","","",1
2023-11-20 16:16:31.690 -0500,"Failure",0:00:02,1,0,0,"20231120_161631.690/LogFile.txt","","VISA Error -- VI_ERROR_TMO: A timeout occurred",0
2023-11-20 16:16:45.745 -0500,"Aborted",0:00:51,1,0,0,"20231120_161645.745/LogFile.txt","","",0
2023-11-20 16:21:38.941 -0500,"Failure",0:00:02,1,0,0,"20231120_162138.941/LogFile.txt","","SCPI ERROR -- -400,""Query error; Query error found.""",0
2023-11-20 16:22:14.292 -0500,"Aborted",0:00:15,1,2,0,"20231120_162214.292/LogFile.txt","","",0
2023-11-20 16:24:17.145 -0500,"Aborted",0:00:17,1,3,0,"20231120_162417.145/LogFile.txt","","",0
2023-11-20 16:24:57.941 -0500,"Success",0:00:43,0,0,0,"20231120_162457.941/LogFile.txt","","",10
2023-11-20 16:26:37.593 -0500,"Aborted",0:00:31,1,0,0,"20231120_162637.593/LogFile.txt","","",0
2023-11-20 16:30:01.828 -0500,"Aborted",0:00:57,1,2,0,"20231120_163001.828/LogFile.txt","","",0
2023-11-20 16:31:46.637 -0500,"Success",0:00:52,0,0,0,"20231120_163146.637/LogFile.txt","","",10
2023-11-26 07:53:13.218 -0500,"Success",0:01:23,0,1,0,"20231126_075313.218/LogFile.txt","","",9
2023-11-26 10:23:00.925 -0500,"Failure",0:00:08,1,0,0,"20231126_102300.925/LogFile.txt","","VISA Error -- Failed to open connection to device ""USB0::0x2A8D::0x6A01::MY61440146::0::INSTR"" (VI_ERROR_NCIC: Not the controller-in-charge)",0
2023-11-26 10:24:56.354 -0500,"Aborted",0:00:28,1,2,0,"20231126_102456.354/LogFile.txt","","",0
2023-11-26 10:25:50.278 -0500,"Failure",0:00:05,1,0,0,"20231126_102550.278/LogFile.txt","","VISA Error -- VI_ERROR_IO: I/O error",0
2023-11-26 10:26:10.054 -0500,"Failure",0:00:11,1,0,0,"20231126_102610.054/LogFile.txt","","SCPI ERROR -- 3?MÖû§|ÔNæAý~2!*4Ê|2&óN1õóÿå4â£B6ÝhPeµ0h",0
2023-11-26 10:27:08.321 -0500,"Failure",0:00:46,1,0,0,"20231126_102708.321/LogFile.txt","","VISA Error -- VI_ERROR_IO: I/O error",7
2023-11-26 10:28:36.217 -0500,"Failure",0:00:08,1,0,0,"20231126_102836.217/LogFile.txt","","SCPI ERROR -- 3?MÖû§|ÔNæAý~2!*4Ê|2&óN1õóÿå4â£B6ÝhPeµ0h",0
2023-11-26 10:30:16.197 -0500,"Aborted",0:00:21,1,3,0,"20231126_103016.197/LogFile.txt","","",1
2023-11-26 10:31:19.733 -0500,"Failure",0:00:23,1,0,0,"20231126_103119.733/LogFile.txt","","VISA Error -- VI_ERROR_IO: I/O error",2
2023-11-26 10:32:15.922 -0500,"Failure",0:00:08,1,0,0,"20231126_103215.922/LogFile.txt","","SCPI ERROR -- 3?MÖû§|ÔNæAý~2!*4Ê|2&óN1õóÿå4â£B6ÝhPeµ0h",0
2023-11-26 10:33:08.670 -0500,"Aborted",0:00:13,1,3,0,"20231126_103308.670/LogFile.txt","","",1
2023-11-26 10:34:17.055 -0500,"Failure",0:00:02,1,0,0,"20231126_103417.055/LogFile.txt","","VISA Error -- VI_ERROR_TMO: A timeout occurred",0
2023-11-26 10:35:16.622 -0500,"Failure",0:00:31,1,0,0,"20231126_103516.622/LogFile.txt","","VISA Error -- VI_ERROR_IO: I/O error",9
2023-11-26 10:37:12.316 -0500,"Failure",0:00:12,1,0,1,"20231126_103712.316/LogFile.txt","","SCPI ERROR -- 3?MÖû§|ÔNæAý~2!*4Ê|2&óN1õóÿå4â£B6ÝhPeµ0h",0
2023-11-26 10:48:45.332 -0500,"Failure",0:00:05,1,0,1,"20231126_104845.332/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: myValidationImage",1
2023-11-26 10:49:20.680 -0500,"Failure",0:00:06,1,0,1,"20231126_104920.680/LogFile.txt","","SCPI ERROR -- 3?MÖû§|ÔNæAý~2!*4Ê|2&óN1õóÿå4â£B6ÝhPeµ0h",0
2023-11-26 10:49:33.904 -0500,"Success",0:00:47,0,2,0,"20231126_104933.904/LogFile.txt","","",18
2023-11-26 11:04:12.856 -0500,"Success",0:00:47,0,2,0,"20231126_110412.856/LogFile.txt","","",18
2023-11-26 11:51:42.683 -0500,"Failure",0:00:05,1,3,1,"20231126_115142.683/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: (empty)",0
